typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,"Unit Price ($/kg)
PrimaryValue/weight"
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1967552.45,FALSE,8,kg,1967552.45,FALSE,"1,967,552",FALSE,0,FALSE,,"$49,776,762.00","$49,776,762.00",0,FALSE,TRUE,$25.30
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,124,CAN,Canada,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2595,FALSE,8,kg,2595,FALSE,"2,595",FALSE,0,FALSE,,"$72,352.00","$72,352.00",0,TRUE,FALSE,$27.88
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,250,FALSE,8,kg,250,FALSE,250,FALSE,0,FALSE,,"$6,720.00","$6,720.00",0,TRUE,FALSE,$26.88
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,344,HKG,"China, Hong Kong SAR",0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1160,FALSE,8,kg,1160,FALSE,"1,160",FALSE,0,FALSE,,"$41,720.00","$41,720.00",0,TRUE,FALSE,$35.97
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,360,IDN,Indonesia,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,44,FALSE,8,kg,44,FALSE,44,FALSE,0,FALSE,,"$1,700.00","$1,700.00",0,TRUE,FALSE,$38.64
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,368,IRQ,Iraq,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10,FALSE,8,kg,10,FALSE,10,FALSE,0,FALSE,,$227.00,$227.00,0,TRUE,FALSE,$22.70
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,392,JPN,Japan,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1723429,FALSE,8,kg,1723429,FALSE,"1,723,429",FALSE,0,FALSE,,"$42,159,187.00","$42,159,187.00",0,TRUE,FALSE,$24.46
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,418,LAO,Lao People's Dem. Rep.,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15,FALSE,8,kg,15,FALSE,15,FALSE,0,FALSE,,$355.00,$355.00,0,TRUE,FALSE,$23.67
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,458,MYS,Malaysia,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,708,FALSE,8,kg,708,FALSE,708,FALSE,0,FALSE,,"$20,513.00","$20,513.00",0,TRUE,FALSE,$28.97
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,490,S19,"Other Asia, nes",0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,57630,FALSE,8,kg,57630,FALSE,"57,630",FALSE,0,FALSE,,"$1,486,828.00","$1,486,828.00",0,TRUE,FALSE,$25.80
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,608,PHL,Philippines,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,340,FALSE,8,kg,340,FALSE,340,FALSE,0,FALSE,,"$16,780.00","$16,780.00",0,TRUE,FALSE,$49.35
