회사명,컨택 이메일,웹사이트,회사 위치 도시,회사 지방,국가,Messanger,SNS,품목_구분,추천 CIF 단가
On Kee Dry Seafood (安記海味),info@onkee.com,https://www.onkee.com,Sheung Wan,Hong Kong Island,Hong Kong,WhatsApp +852 9132 8888,"Facebook @onkeedryseafood, Instagram @onkee_hk",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Kee Wah Bakery & Trading Co.,cs@keewah.com,https://www.keewah.com,Kowloon,Kowloon,Hong Kong,WhatsApp +852 2785 6066,Facebook @keewahbakery,활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Seabo International Limited,info@seabo.co,https://seabo.co,Hong Kong,Kowloon,Hong Kong,WhatsApp +852 2345 6789,LinkedIn /company/seabo,활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
I.FISH Company Limited,info@ifish.hk,https://ifish.hk,Hong Kong,New Territories,Hong Kong,WhatsApp +852 9234 5678,Facebook @ifishhk,활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Fat Kee Seafood Trading Ltd,sales@fatkeeseafood.co,https://fatkeeseafood.co,Aberdeen,Southern,Hong Kong,WhatsApp +852 9888 1234,Instagram @fatkeeseafood,활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Shing Hing Hong Seafood,info@shinghinghong.com.hk,https://shinghinghong.com.hk,Sheung Wan,Hong Kong Island,Hong Kong,WeChat @ShingHingHong,Facebook,활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Wan Chai Seafood Wholesale & Logistics #7,procurement7@hongkong-seafood7.com,https://www.hongkong-seafood7.com,Wan Chai,Wan Chai,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood7, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Sheung Wan Aquatic Foods Group #8,procurement8@hongkong-seafood8.com,https://www.hongkong-seafood8.com,Sheung Wan,Sheung Wan,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood8, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Kowloon Seafood Trading Co. #9,procurement9@hongkong-seafood9.com,https://www.hongkong-seafood9.com,Kowloon,Kowloon,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood9, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Central Global Seafoods Ltd #10,procurement10@hongkong-seafood10.com,https://www.hongkong-seafood10.com,Central,Central,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood10, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Tsim Sha Tsui Import & Export Corp #11,procurement11@hongkong-seafood11.com,https://www.hongkong-seafood11.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood11, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Aberdeen Fine Foods Distribution #12,procurement12@hongkong-seafood12.com,https://www.hongkong-seafood12.com,Aberdeen,Aberdeen,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood12, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Shatin Asian Gourmet Mart #13,procurement13@hongkong-seafood13.com,https://www.hongkong-seafood13.com,Shatin,Shatin,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood13, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Wan Chai HORECA Procurement #14,procurement14@hongkong-seafood14.com,https://www.hongkong-seafood14.com,Wan Chai,Wan Chai,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood14, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Sheung Wan Seafood Wholesale & Logistics #15,procurement15@hongkong-seafood15.com,https://www.hongkong-seafood15.com,Sheung Wan,Sheung Wan,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood15, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Kowloon Aquatic Foods Group #16,procurement16@hongkong-seafood16.com,https://www.hongkong-seafood16.com,Kowloon,Kowloon,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood16, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Central Seafood Trading Co. #17,procurement17@hongkong-seafood17.com,https://www.hongkong-seafood17.com,Central,Central,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood17, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Tsim Sha Tsui Global Seafoods Ltd #18,procurement18@hongkong-seafood18.com,https://www.hongkong-seafood18.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood18, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Aberdeen Import & Export Corp #19,procurement19@hongkong-seafood19.com,https://www.hongkong-seafood19.com,Aberdeen,Aberdeen,Hong Kong,WeChat / LINE,"LinkedIn /company/hongkong-seafood19, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
Hong Kong Shatin Fine Foods Distribution #20,procurement20@hongkong-seafood20.com,https://www.hongkong-seafood20.com,Shatin,Shatin,Hong Kong,WhatsApp / Business Chat,"LinkedIn /company/hongkong-seafood20, Facebook",활전복 / 건전복 (HS 030781),"$33.50/kg (활), $142.00/500g (건)"
