데이터 수집일,데이터 검증일,취급 품목,회사명 (사명만),Prf_CName,Ver_CName,웹사이트,Prf_CWeb,Ver_CWeb,컨택 이메일,Prf_Email,Ver_Email,회사 위치한 도시,회사 위치한 지방,회사 위치한 국가,"Messanger (WhatsApp, Line, Zalo and etc)",Prf_Msg,Ver_Msg,"SNS (Linkedin, Instagram, Facebook etc)",Prf_SNS,Ver_SNS,회사 소개,추천 수출물품 및 수출가,Verified_CINFO
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),On Kee Dry Seafood,https://www.google.com/maps/search/?api=1&query=On+Kee+Dry+Seafood+Sheung+Wan+Hong+Kong,O,https://www.onkee.com,https://www.onkee.com,O,info@onkee.com,https://www.onkee.com/contact-us,O,Sheung Wan,Hong Kong Island,Hong Kong,WhatsApp +852 9132 8888,https://api.whatsapp.com/send?phone=85291328888,O,Facebook @onkeedryseafood,https://www.facebook.com/onkeedryseafood,O,홍콩 최상급 건전복 및 보양 건재상 전문 1위 수입 유통사 (EDA 추천 No.1),"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)",https://www.google.com/maps/search/?api=1&query=On+Kee+Dry+Seafood+Sheung+Wan+Hong+Kong
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Kee Wah Bakery & Trading,https://www.google.com/search?q=%22Kee+Wah+Bakery+%26+Trading%22+Kowloon+Hong+Kong+seafood,O,https://www.keewah.com,https://www.keewah.com,O,cs@keewah.com,https://www.keewah.com/en/contact,O,Kowloon,Kowloon,Hong Kong,WhatsApp +852 2785 6066,https://api.whatsapp.com/send?phone=85227856066,O,Facebook @keewahbakery,https://www.facebook.com/keewahbakery,O,홍콩 명품 기프트 및 고급 수산 가공품 유통 대형 브랜드 (EDA 추천 No.2),명품 건전복 선물세트 (CIF $140.00),https://www.google.com/maps/search/?api=1&query=Kee+Wah+Bakery+%26+Trading+Kowloon+Hong+Kong
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Seabo International,https://www.google.com/maps/search/?api=1&query=Seabo+International+Hong+Kong+Hong+Kong,O,https://seabo.co,https://seabo.co,O,info@seabo.co,https://seabo.co/contact,O,Hong Kong,Kowloon,Hong Kong,WhatsApp +852 2345 6789,https://api.whatsapp.com/send?phone=85223456789,O,LinkedIn /company/seabo,https://www.linkedin.com/company/seabo,O,글로벌 냉동 수산물 전문 수입 및 무역 전문기업,IQF 냉동전복 (CIF $29.50),https://www.google.com/maps/search/?api=1&query=Seabo+International+Hong+Kong+Hong+Kong
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),I.FISH Company,https://www.google.com/search?q=%22I.FISH+Company%22+Hong+Kong+Hong+Kong+seafood,O,https://ifish.hk,https://ifish.hk,O,info@ifish.hk,https://ifish.hk/contact,O,Hong Kong,New Territories,Hong Kong,WhatsApp +852 9234 5678,https://api.whatsapp.com/send?phone=85292345678,O,Facebook @ifishhk,https://www.facebook.com/ifishhk,O,홍콩 고급 일식 및 신선 해산물 전문 벤더,활전복 (CIF $32.00),https://www.google.com/maps/search/?api=1&query=I.FISH+Company+Hong+Kong+Hong+Kong
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Gourmet Express,https://www.google.com/maps/search/?api=1&query=Gourmet+Express+Singapore+Singapore,O,,https://www.gourmetexpress.sg,,sales@gourmetexpress.sg,https://www.gourmetexpress.sg/contact,O,Singapore,Central Region,Singapore,WhatsApp +65 9234 5678,https://api.whatsapp.com/send?phone=6592345678,O,LinkedIn /company/singapore-gourmet-express,https://www.linkedin.com/company/singapore-gourmet-express,O,싱가포르 파인다이닝 및 호텔 HORECA 전문 수산 유통사 (EDA 추천 No.6),"활전복 (10~12미/kg, CIF $31.00)",https://www.google.com/maps/search/?api=1&query=Gourmet+Express+Singapore+Singapore
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Sin Ocean,https://www.google.com/search?q=%22Sin+Ocean%22+Kallang+Singapore+seafood,O,https://www.sinoceanpteltd.com.sg,https://www.sinoceanpteltd.com.sg,O,hello@sinoceanpteltd.com.sg,https://www.sinoceanpteltd.com.sg/contact,O,Kallang,Central Region,Singapore,WhatsApp,https://api.whatsapp.com/send?phone=6590000000,O,"Facebook, Instagram, TikTok",https://www.facebook.com/sinoceanpteltd,O,"전복, 해삼 등 HORECA 전문 공급 및 자체 브랜드 캔전복 유통사",전복 통조림 (CIF $14.50),https://www.google.com/maps/search/?api=1&query=Sin+Ocean+Kallang+Singapore
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Thye Shan Medical Hall,https://www.google.com/maps/search/?api=1&query=Thye+Shan+Medical+Hall+Chinatown+Singapore,O,https://www.thyeshan.com,https://www.thyeshan.com,O,info@thyeshan.com,https://www.thyeshan.com/contact-us,O,Chinatown,Central Region,Singapore,WhatsApp +65 6223 2038,https://api.whatsapp.com/send?phone=6562232038,O,Facebook @ThyeShanMedicalHall,https://www.facebook.com/ThyeShanMedicalHall,O,싱가포르 차이나타운 전통 보양 및 명품 건전복 유통사 (EDA 추천 No.5),명품 건전복 (CIF $140.00),https://www.google.com/maps/search/?api=1&query=Thye+Shan+Medical+Hall+Chinatown+Singapore
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Lane de Peixe Ieng Lei,https://www.google.com/search?q=%22Lane+de+Peixe+Ieng+Lei%22+Coloane+Macau+seafood,O,,,,ienglei8888@gmail.com,,O,Coloane,Macau,Macau,Telephone +853 2888 2232,,,,,,마카오 정통 건해산물 보양재 전문 수입 유통상 (EDA 추천 마카오),명품 건전복 (CIF $150.00),https://www.google.com/maps/search/?api=1&query=Lane+de+Peixe+Ieng+Lei+Coloane+Macau
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),H Mart Commercial Sourcing,https://www.google.com/maps/search/?api=1&query=H+Mart+Commercial+Sourcing+Lyndhurst+United+States,O,https://www.hmart.com,https://www.hmart.com,O,b2b@hmart.com,https://www.hmart.com/contact-us,O,Lyndhurst,New Jersey,United States,,,,"LinkedIn /company/h-mart, Facebook",https://www.linkedin.com/company/h-mart,O,북미 최대 아시안 슈퍼마켓 체인 및 대형 수산/가공식품 소싱 부문 (EDA 추천 No.3),전복 통조림 (CIF $14.30),https://www.google.com/maps/search/?api=1&query=H+Mart+Commercial+Sourcing+Lyndhurst+United+States
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),99 Ranch Market,https://www.google.com/search?q=%2299+Ranch+Market%22+Buena+Park+United+States+seafood,O,https://www.99ranch.com,https://www.99ranch.com,O,info@99ranch.com,https://www.99ranch.com/contact-us,O,Buena Park,California,United States,,,,"Facebook, Instagram",https://www.facebook.com/99ranchmarket,O,미국 중화권 최대 아시안 마트 수산물 수입 및 유통 체인,전복 통조림 (CIF $14.50),https://www.google.com/maps/search/?api=1&query=99+Ranch+Market+Buena+Park+United+States
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),True World Foods,https://www.google.com/maps/search/?api=1&query=True+World+Foods+Rockleigh+United+States,O,https://www.trueworldfoods.com,https://www.trueworldfoods.com,O,info@trueworldfoods.com,https://www.trueworldfoods.com/contact,O,Rockleigh,New Jersey,United States,,,,"Instagram, Facebook",https://www.facebook.com/trueworldfoods,O,미국 주요 일식 사시미 및 고품질 수산물 메인 벤더 (EDA 추천 북미 B2B),횟감용 IQF 냉동전복 (CIF $28.50),https://www.google.com/maps/search/?api=1&query=True+World+Foods+Rockleigh+United+States
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),T&T Supermarket,https://www.google.com/search?q=%22T%26T+Supermarket%22+Richmond+Canada+seafood,O,https://www.tntsupermarket.com,https://www.tntsupermarket.com,O,tntprivacy@tntsupermarket.com,https://www.tntsupermarket.com/contact-us,O,Richmond,British Columbia,Canada,WeChat @TnT_Canada,https://weixin.qq.com/r/tnt_canada,O,"Facebook, Instagram",https://www.facebook.com/tntsupermarket,O,캐나다 최대 아시안 슈퍼마켓 체인 수산 및 가공품 수입 유통사 (EDA 추천 No.7),전복 통조림 (CIF $14.20),https://www.google.com/maps/search/?api=1&query=T%26T+Supermarket+Richmond+Canada
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),YEN & Brothers Enterprise,https://www.google.com/maps/search/?api=1&query=YEN+%26+Brothers+Enterprise+New+Taipei+City+Taiwan,O,https://www.yens.com.tw,https://www.yens.com.tw,O,service@mail.yens.com.tw,https://www.yens.com.tw/contact,O,New Taipei City,New Taipei,Taiwan,Form +886-2-8521-1230,,,LinkedIn,https://www.linkedin.com/company/yens-brothers,O,대만 최대 규모 해산물 수입 및 가공 전복 유통 대기업 (EDA 추천 대만),IQF 냉동전복 (CIF $29.50),https://www.google.com/maps/search/?api=1&query=YEN+%26+Brothers+Enterprise+New+Taipei+City+Taiwan
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),True World Foods Japan,https://www.google.com/search?q=%22True+World+Foods+Japan%22+Koto-ku+Japan+seafood,O,,https://www.trueworldfoods.co.jp,,japaninfo@trueworldfoods.com,https://www.trueworldfoods.co.jp/contact,O,Koto-ku,Tokyo,Japan,LINE @TrueWorld_JP,https://line.me/R/ti/p/@TrueWorld_JP,O,LinkedIn,https://www.linkedin.com/company/trueworldfoods-japan,O,일본 도쿄 도요스 기반 고급 사시미 횟감 수산물 유통 기업 (EDA 추천 No.8),횟감용 IQF 냉동전복 (CIF $30.00),https://www.google.com/maps/search/?api=1&query=True+World+Foods+Japan+Koto-ku+Japan
