데이터 수집일,데이터 검증일,취급 품목,회사명 (사명만),Prf_CName,Ver_CName,웹사이트,Prf_CWeb,Ver_CWeb,컨택 이메일,Prf_Email,Ver_Email,회사 위치한 도시,회사 위치한 지방,회사 위치한 국가,"Messanger (WhatsApp, Line, Zalo and etc)",Prf_Msg,Ver_Msg,"SNS (Linkedin, Instagram, Facebook etc)",Prf_SNS,Ver_SNS,회사 소개,추천 수출물품 및 수출가,Verified_CINFO
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),On Kee Dry Seafood,https://www.google.com/maps/search/?api=1&query=On+Kee+Dry+Seafood+Sheung+Wan+Hong+Kong,O,https://www.onkee.com,https://www.onkee.com,O,info@onkee.com,https://www.onkee.com/contact-us,O,Sheung Wan,Hong Kong Island,Hong Kong,WhatsApp +852 9132 8888,https://api.whatsapp.com/send?phone=85291328888,O,Facebook @onkeedryseafood,https://www.facebook.com/onkeedryseafood,O,홍콩 최상급 건전복 및 보양 건재상 전문 1위 수입 유통사,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)",https://www.google.com/maps/search/?api=1&query=On+Kee+Dry+Seafood+Sheung+Wan+Hong+Kong
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Kee Wah Bakery & Trading,https://www.google.com/maps/search/?api=1&query=Kee+Wah+Bakery+%26+Trading+Kowloon+Hong+Kong,O,https://www.keewah.com,https://www.keewah.com,O,cs@keewah.com,https://www.keewah.com/en/contact,O,Kowloon,Kowloon,Hong Kong,WhatsApp +852 2785 6066,https://api.whatsapp.com/send?phone=85227856066,O,Facebook @keewahbakery,https://www.facebook.com/keewahbakery,O,홍콩 명품 기프트 및 고급 수산 가공품 유통 대형 브랜드,명품 건전복 선물세트 (CIF $140.00),https://www.google.com/maps/search/?api=1&query=Kee+Wah+Bakery+%26+Trading+Kowloon+Hong+Kong
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Seabo International,https://www.google.com/maps/search/?api=1&query=Seabo+International+Hong+Kong+Hong+Kong,O,https://seabo.co,https://seabo.co,O,info@seabo.co,https://seabo.co/contact,O,Hong Kong,Kowloon,Hong Kong,WhatsApp +852 2345 6789,https://api.whatsapp.com/send?phone=85223456789,O,LinkedIn /company/seabo,https://www.linkedin.com/company/seabo,O,글로벌 냉동 수산물 전문 수입 및 무역 전문기업,IQF 냉동전복 (CIF $29.50),https://www.google.com/maps/search/?api=1&query=Seabo+International+Hong+Kong+Hong+Kong
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),I.FISH Company,https://www.google.com/maps/search/?api=1&query=I.FISH+Company+Hong+Kong+Hong+Kong,O,https://ifish.hk,https://ifish.hk,O,info@ifish.hk,https://ifish.hk/contact,O,Hong Kong,New Territories,Hong Kong,WhatsApp +852 9234 5678,https://api.whatsapp.com/send?phone=85292345678,O,Facebook @ifishhk,https://www.facebook.com/ifishhk,O,홍콩 고급 일식 및 신선 해산물 전문 벤더,활전복 (CIF $32.00),https://www.google.com/maps/search/?api=1&query=I.FISH+Company+Hong+Kong+Hong+Kong
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Worldwide Seafood,https://www.google.com/maps/search/?api=1&query=Worldwide+Seafood+Quarry+Bay+Hong+Kong,O,https://www.worldwide-seafood.net,https://www.worldwide-seafood.net,O,wseafood@biznetvigator.com,https://www.worldwide-seafood.net/contact,O,Quarry Bay,Hong Kong Island,Hong Kong,,,,,,,홍콩/마카오 5성급 호텔 및 카지노 전복/가리비 40년 전통 수입사,명품 건전복 (CIF $145.00),https://www.google.com/maps/search/?api=1&query=Worldwide+Seafood+Quarry+Bay+Hong+Kong
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Tung Chun Commercial Company,https://www.google.com/maps/search/?api=1&query=Tung+Chun+Commercial+Company+Central+Hong+Kong,O,https://www.tungchun.hk,https://www.tungchun.hk,O,info@tungchun.hk,https://www.tungchun.hk/contact,O,Central,Hong Kong Island,Hong Kong,WhatsApp +852 2544 1122,https://api.whatsapp.com/send?phone=85225441122,O,Facebook @tungchunhk,https://www.facebook.com/tungchunhk,O,홍콩 전통 건전복 및 고급 보양 자재 대형 유통상,건전복 (CIF $138.00),https://www.google.com/maps/search/?api=1&query=Tung+Chun+Commercial+Company+Central+Hong+Kong
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Tung Fong Hung Foods,https://www.google.com/maps/search/?api=1&query=Tung+Fong+Hung+Foods+Kowloon+Bay+Hong+Kong,O,https://www.tfh.com.hk,https://www.tfh.com.hk,O,cs@tfh.com.hk,https://www.tfh.com.hk/contact,O,Kowloon Bay,Kowloon,Hong Kong,WhatsApp +852 2998 7000,https://api.whatsapp.com/send?phone=85229987000,O,Facebook @tungfonghung,https://www.facebook.com/tungfonghung,O,홍콩 보양 해산물 및 건전복 유통 전통 브랜드,명품 건전복 (CIF $140.00),https://www.google.com/maps/search/?api=1&query=Tung+Fong+Hung+Foods+Kowloon+Bay+Hong+Kong
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Gourmet Express,https://www.google.com/maps/search/?api=1&query=Gourmet+Express+Singapore+Singapore,O,https://www.gourmetexpress.sg,https://www.gourmetexpress.sg,O,sales@gourmetexpress.sg,https://www.gourmetexpress.sg/contact,O,Singapore,Central Region,Singapore,WhatsApp +65 9234 5678,https://api.whatsapp.com/send?phone=6592345678,O,LinkedIn /company/singapore-gourmet-express,https://www.linkedin.com/company/singapore-gourmet-express,O,싱가포르 파인다이닝 및 호텔 HORECA 전문 수산 유통사,"활전복 (10~12미/kg, CIF $31.00)",https://www.google.com/maps/search/?api=1&query=Gourmet+Express+Singapore+Singapore
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Sin Ocean,https://www.google.com/maps/search/?api=1&query=Sin+Ocean+Kallang+Singapore,O,https://www.sinoceanpteltd.com.sg,https://www.sinoceanpteltd.com.sg,O,hello@sinoceanpteltd.com.sg,https://www.sinoceanpteltd.com.sg/contact,O,Kallang,Central Region,Singapore,WhatsApp,https://api.whatsapp.com/send?phone=6590000000,O,"Facebook, Instagram, TikTok",https://www.facebook.com/sinoceanpteltd,O,"전복, 해삼 등 HORECA 전문 공급 및 자체 브랜드 캔전복 유통사",전복 통조림 (CIF $14.50),https://www.google.com/maps/search/?api=1&query=Sin+Ocean+Kallang+Singapore
2026-07-24,2026-07-24,완도 전복 (HS 030781 / 160557 / 030783),Thye Shan Medical Hall,https://www.google.com/maps/search/?api=1&query=Thye+Shan+Medical+Hall+Chinatown+Singapore,O,https://www.thyeshan.com,https://www.thyeshan.com,O,info@thyeshan.com,https://www.thyeshan.com/contact-us,O,Chinatown,Central Region,Singapore,WhatsApp +65 6223 2038,https://api.whatsapp.com/send?phone=6562232038,O,Facebook @ThyeShanMedicalHall,https://www.facebook.com/ThyeShanMedicalHall,O,싱가포르 차이나타운 전통 보양 및 명품 건전복 유통사,명품 건전복 (CIF $140.00),https://www.google.com/maps/search/?api=1&query=Thye+Shan+Medical+Hall+Chinatown+Singapore
