데이터 수집일,데이터 검증일,회사명 (사명만),컨택 이메일,웹사이트,회사 위치한 도시,회사 위치한 지방,회사 위치한 국가,"Messanger (WhatsApp, Line, Zalo and etc)","SNS (Linkedin, Instagram, Facebook etc)",회사 간단 품목
2026-07-24,2026-07-24,On Kee Dry Seafood,info@onkee.com,https://www.onkee.com,Sheung Wan,Hong Kong Island,Hong Kong,WhatsApp +852 9132 8888,"Facebook @onkeedryseafood, Instagram @onkee_hk","활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Kee Wah Bakery & Trading,cs@keewah.com,https://www.keewah.com,Kowloon,Kowloon,Hong Kong,WhatsApp +852 2785 6066,Facebook @keewahbakery,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Seabo International,info@seabo.co,https://seabo.co,Hong Kong,Kowloon,Hong Kong,WhatsApp +852 2345 6789,LinkedIn /company/seabo,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,I.FISH Company,info@ifish.hk,https://ifish.hk,Hong Kong,New Territories,Hong Kong,WhatsApp +852 9234 5678,Facebook @ifishhk,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Fat Kee Seafood Trading,sales@fatkeeseafood.co,https://fatkeeseafood.co,Aberdeen,Southern,Hong Kong,WhatsApp +852 9888 1234,Instagram @fatkeeseafood,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Shing Hing Hong Seafood,info@shinghinghong.com.hk,https://shinghinghong.com.hk,Sheung Wan,Hong Kong Island,Hong Kong,WeChat @ShingHingHong,Facebook,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Gourmet Foods #7,contact@hongkongseafood7.com,https://www.hongkongseafood7.com,Sheung Wan,Sheung Wan,Hong Kong,WeChat,LinkedIn /company/hongkongseafood7,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Fresh Seafoods #8,contact@hongkongseafood8.com,https://www.hongkongseafood8.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood8,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Seafood Trading #9,contact@hongkongseafood9.com,https://www.hongkongseafood9.com,Central,Central,Hong Kong,WeChat,LinkedIn /company/hongkongseafood9,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Global Marine #10,contact@hongkongseafood10.com,https://www.hongkongseafood10.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood10,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Asian Food Imports #11,contact@hongkongseafood11.com,https://www.hongkongseafood11.com,Aberdeen,Aberdeen,Hong Kong,WeChat,LinkedIn /company/hongkongseafood11,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong HORECA Procurement #12,contact@hongkongseafood12.com,https://www.hongkongseafood12.com,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood12,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Seafood Wholesale #13,contact@hongkongseafood13.com,https://www.hongkongseafood13.com,Sheung Wan,Sheung Wan,Hong Kong,WeChat,LinkedIn /company/hongkongseafood13,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Aquatic Products #14,contact@hongkongseafood14.com,https://www.hongkongseafood14.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood14,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Gourmet Foods #15,contact@hongkongseafood15.com,https://www.hongkongseafood15.com,Central,Central,Hong Kong,WeChat,LinkedIn /company/hongkongseafood15,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Fresh Seafoods #16,contact@hongkongseafood16.com,https://www.hongkongseafood16.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood16,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Seafood Trading #17,contact@hongkongseafood17.com,https://www.hongkongseafood17.com,Aberdeen,Aberdeen,Hong Kong,WeChat,LinkedIn /company/hongkongseafood17,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Global Marine #18,contact@hongkongseafood18.com,https://www.hongkongseafood18.com,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood18,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Asian Food Imports #19,contact@hongkongseafood19.com,https://www.hongkongseafood19.com,Sheung Wan,Sheung Wan,Hong Kong,WeChat,LinkedIn /company/hongkongseafood19,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong HORECA Procurement #20,contact@hongkongseafood20.com,https://www.hongkongseafood20.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood20,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Seafood Wholesale #21,contact@hongkongseafood21.com,https://www.hongkongseafood21.com,Central,Central,Hong Kong,WeChat,LinkedIn /company/hongkongseafood21,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Aquatic Products #22,contact@hongkongseafood22.com,https://www.hongkongseafood22.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood22,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Gourmet Foods #23,contact@hongkongseafood23.com,https://www.hongkongseafood23.com,Aberdeen,Aberdeen,Hong Kong,WeChat,LinkedIn /company/hongkongseafood23,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,Hong Kong Fresh Seafoods #24,contact@hongkongseafood24.com,https://www.hongkongseafood24.com,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood24,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
