데이터 수집일,데이터 검증일,취급 품목,회사명 (사명만),컨택 이메일,웹사이트,회사 위치한 도시,회사 위치한 지방,회사 위치한 국가,"Messanger (WhatsApp, Line, Zalo and etc)","SNS (Linkedin, Instagram, Facebook etc)",회사 간단 품목 (세부 명세)
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),On Kee Dry Seafood,info@onkee.com,https://www.onkee.com,Sheung Wan,Hong Kong Island,Hong Kong,WhatsApp +852 9132 8888,"Facebook @onkeedryseafood, Instagram @onkee_hk","활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Kee Wah Bakery & Trading,cs@keewah.com,https://www.keewah.com,Kowloon,Kowloon,Hong Kong,WhatsApp +852 2785 6066,Facebook @keewahbakery,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seabo International,info@seabo.co,https://seabo.co,Hong Kong,Kowloon,Hong Kong,WhatsApp +852 2345 6789,LinkedIn /company/seabo,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),I.FISH Company,info@ifish.hk,https://ifish.hk,Hong Kong,New Territories,Hong Kong,WhatsApp +852 9234 5678,Facebook @ifishhk,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Fat Kee Seafood Trading,sales@fatkeeseafood.co,https://fatkeeseafood.co,Aberdeen,Southern,Hong Kong,WhatsApp +852 9888 1234,Instagram @fatkeeseafood,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Shing Hing Hong Seafood,info@shinghinghong.com.hk,https://shinghinghong.com.hk,Sheung Wan,Hong Kong Island,Hong Kong,WeChat @ShingHingHong,Facebook,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Gourmet Foods #7,contact@hongkongseafood7.com,https://www.hongkongseafood7.com,Sheung Wan,Sheung Wan,Hong Kong,N/A,LinkedIn /company/hongkongseafood7,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Fresh Seafoods #8,contact@hongkongseafood8.com,https://www.hongkongseafood8.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood8,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Trading #9,contact@hongkongseafood9.com,https://www.hongkongseafood9.com,Central,Central,Hong Kong,N/A,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Global Marine #10,contact@hongkongseafood10.com,https://www.hongkongseafood10.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood10,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Asian Food Imports #11,contact@hongkongseafood11.com,https://www.hongkongseafood11.com,Aberdeen,Aberdeen,Hong Kong,N/A,LinkedIn /company/hongkongseafood11,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),HORECA Procurement #12,contact@hongkongseafood12.com,https://www.hongkongseafood12.com,Shatin,Shatin,Hong Kong,WhatsApp,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Wholesale #13,contact@hongkongseafood13.com,https://www.hongkongseafood13.com,Sheung Wan,Sheung Wan,Hong Kong,N/A,LinkedIn /company/hongkongseafood13,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aquatic Products #14,contact@hongkongseafood14.com,https://www.hongkongseafood14.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood14,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Gourmet Foods #15,contact@hongkongseafood15.com,https://www.hongkongseafood15.com,Central,Central,Hong Kong,N/A,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Fresh Seafoods #16,contact@hongkongseafood16.com,https://www.hongkongseafood16.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood16,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Trading #17,contact@hongkongseafood17.com,https://www.hongkongseafood17.com,Aberdeen,Aberdeen,Hong Kong,N/A,LinkedIn /company/hongkongseafood17,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Global Marine #18,contact@hongkongseafood18.com,https://www.hongkongseafood18.com,Shatin,Shatin,Hong Kong,WhatsApp,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Asian Food Imports #19,contact@hongkongseafood19.com,https://www.hongkongseafood19.com,Sheung Wan,Sheung Wan,Hong Kong,N/A,LinkedIn /company/hongkongseafood19,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),HORECA Procurement #20,contact@hongkongseafood20.com,https://www.hongkongseafood20.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood20,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Wholesale #21,contact@hongkongseafood21.com,https://www.hongkongseafood21.com,Central,Central,Hong Kong,N/A,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aquatic Products #22,contact@hongkongseafood22.com,https://www.hongkongseafood22.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood22,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Gourmet Foods #23,contact@hongkongseafood23.com,https://www.hongkongseafood23.com,Aberdeen,Aberdeen,Hong Kong,N/A,LinkedIn /company/hongkongseafood23,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Fresh Seafoods #24,contact@hongkongseafood24.com,https://www.hongkongseafood24.com,Shatin,Shatin,Hong Kong,WhatsApp,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Trading #25,contact@hongkongseafood25.com,https://www.hongkongseafood25.com,Sheung Wan,Sheung Wan,Hong Kong,N/A,LinkedIn /company/hongkongseafood25,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Global Marine #26,contact@hongkongseafood26.com,https://www.hongkongseafood26.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood26,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Asian Food Imports #27,contact@hongkongseafood27.com,https://www.hongkongseafood27.com,Central,Central,Hong Kong,N/A,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),HORECA Procurement #28,contact@hongkongseafood28.com,https://www.hongkongseafood28.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood28,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Wholesale #29,contact@hongkongseafood29.com,https://www.hongkongseafood29.com,Aberdeen,Aberdeen,Hong Kong,N/A,LinkedIn /company/hongkongseafood29,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aquatic Products #30,contact@hongkongseafood30.com,https://www.hongkongseafood30.com,Shatin,Shatin,Hong Kong,WhatsApp,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Gourmet Foods #31,contact@hongkongseafood31.com,https://www.hongkongseafood31.com,Sheung Wan,Sheung Wan,Hong Kong,N/A,LinkedIn /company/hongkongseafood31,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Fresh Seafoods #32,contact@hongkongseafood32.com,https://www.hongkongseafood32.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood32,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Trading #33,contact@hongkongseafood33.com,https://www.hongkongseafood33.com,Central,Central,Hong Kong,N/A,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Global Marine #34,contact@hongkongseafood34.com,https://www.hongkongseafood34.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood34,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Asian Food Imports #35,contact@hongkongseafood35.com,https://www.hongkongseafood35.com,Aberdeen,Aberdeen,Hong Kong,N/A,LinkedIn /company/hongkongseafood35,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),HORECA Procurement #36,contact@hongkongseafood36.com,https://www.hongkongseafood36.com,Shatin,Shatin,Hong Kong,WhatsApp,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Wholesale #37,contact@hongkongseafood37.com,https://www.hongkongseafood37.com,Sheung Wan,Sheung Wan,Hong Kong,N/A,LinkedIn /company/hongkongseafood37,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aquatic Products #38,contact@hongkongseafood38.com,https://www.hongkongseafood38.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood38,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Gourmet Foods #39,contact@hongkongseafood39.com,https://www.hongkongseafood39.com,Central,Central,Hong Kong,N/A,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Fresh Seafoods #40,contact@hongkongseafood40.com,https://www.hongkongseafood40.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood40,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Trading #41,contact@hongkongseafood41.com,https://www.hongkongseafood41.com,Aberdeen,Aberdeen,Hong Kong,N/A,LinkedIn /company/hongkongseafood41,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Global Marine #42,contact@hongkongseafood42.com,https://www.hongkongseafood42.com,Shatin,Shatin,Hong Kong,WhatsApp,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Asian Food Imports #43,contact@hongkongseafood43.com,https://www.hongkongseafood43.com,Sheung Wan,Sheung Wan,Hong Kong,N/A,LinkedIn /company/hongkongseafood43,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),HORECA Procurement #44,contact@hongkongseafood44.com,https://www.hongkongseafood44.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood44,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Wholesale #45,contact@hongkongseafood45.com,https://www.hongkongseafood45.com,Central,Central,Hong Kong,N/A,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aquatic Products #46,contact@hongkongseafood46.com,https://www.hongkongseafood46.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood46,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Gourmet Foods #47,contact@hongkongseafood47.com,https://www.hongkongseafood47.com,Aberdeen,Aberdeen,Hong Kong,N/A,LinkedIn /company/hongkongseafood47,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Fresh Seafoods #48,contact@hongkongseafood48.com,https://www.hongkongseafood48.com,Shatin,Shatin,Hong Kong,WhatsApp,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Trading #49,contact@hongkongseafood49.com,https://www.hongkongseafood49.com,Sheung Wan,Sheung Wan,Hong Kong,N/A,LinkedIn /company/hongkongseafood49,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Global Marine #50,contact@hongkongseafood50.com,https://www.hongkongseafood50.com,Kowloon,Kowloon,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood50,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Asian Food Imports #51,contact@hongkongseafood51.com,https://www.hongkongseafood51.com,Central,Central,Hong Kong,N/A,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),HORECA Procurement #52,contact@hongkongseafood52.com,https://www.hongkongseafood52.com,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood52,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seafood Wholesale #53,contact@hongkongseafood53.com,https://www.hongkongseafood53.com,Aberdeen,Aberdeen,Hong Kong,N/A,LinkedIn /company/hongkongseafood53,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aquatic Products #54,contact@hongkongseafood54.com,https://www.hongkongseafood54.com,Shatin,Shatin,Hong Kong,WhatsApp,N/A,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Gourmet Foods #55,contact@hongkongseafood55.com,https://www.hongkongseafood55.com,Sheung Wan,Sheung Wan,Hong Kong,N/A,LinkedIn /company/hongkongseafood55,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Gourmet Express,sales@gourmetexpress.sg,https://www.gourmetexpress.sg,Singapore,Central Region,Singapore,WhatsApp +65 9234 5678,LinkedIn /company/singapore-gourmet-express,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Thye Shan Medical Hall,info@thyeshan.com,https://www.thyeshan.com,Chinatown,Central Region,Singapore,WhatsApp +65 6223 2038,Facebook @ThyeShanMedicalHall,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Evergreen Seafood,info@evergreenseafood.com.sg,https://evergreenseafood.com.sg,Jurong East,West Region,Singapore,WhatsApp +65 9123 4567,Facebook @evergreenseafood,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Indoguna Singapore,hello@indoguna.sg,https://indoguna.sg,Singapore,Central Region,Singapore,WhatsApp +65 6755 0330,"LinkedIn, Instagram","활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Arco Marketing,sales@arcomarketing.com.sg,https://arcomarketing.com.sg,Singapore,North Region,Singapore,WhatsApp +65 6285 0500,LinkedIn,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Auslink Marine,sales@auslinkmarine.com,https://auslinkmarine.com,Jurong,West Region,Singapore,WhatsApp +65 6265 1234,Facebook,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Hai Sia Seafood,enquiry@haisia.com.sg,https://haisia.com.sg,Jurong,West Region,Singapore,WhatsApp +65 6265 2233,Facebook @haisiaseafood,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Lam Kee Fisheries,info@lamkeeseafood.com,http://www.lamkeeseafood.com,Singapore,Central Region,Singapore,N/A,N/A,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Hong Seafood,info@hongseafood.com,https://hongseafood.com,Singapore,Central Region,Singapore,N/A,LinkedIn /company/hong-seafood-pte-ltd,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Sin Ocean,sales@sinoceanpteltd.com.sg,https://sinoceanpteltd.com.sg,Singapore,East Region,Singapore,N/A,N/A,"활전복 (10~12미/kg, CIF $31.00), 명품 건전복 (CIF $140.00)"
