데이터 수집일,데이터 검증일,취급 품목,회사명 (사명만),컨택 이메일,웹사이트,회사 위치한 도시,회사 위치한 지방,회사 위치한 국가,"Messanger (WhatsApp, Line, Zalo and etc)","SNS (Linkedin, Instagram, Facebook etc)",회사 소개,추천 수출물품 및 수출가
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),On Kee Dry Seafood,info@onkee.com,https://www.onkee.com,Sheung Wan,Hong Kong Island,Hong Kong,WhatsApp +852 9132 8888,Facebook @onkeedryseafood,홍콩 최상급 건전복 및 보양 건재상 전문 1위 수입 유통사,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Kee Wah Bakery & Trading,cs@keewah.com,https://www.keewah.com,Kowloon,Kowloon,Hong Kong,WhatsApp +852 2785 6066,Facebook @keewahbakery,홍콩 명품 기프트 및 고급 수산 가공품 유통 대형 브랜드,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seabo International,info@seabo.co,https://seabo.co,Hong Kong,Kowloon,Hong Kong,WhatsApp +852 2345 6789,LinkedIn /company/seabo,글로벌 냉동 수산물 전문 수입 및 무역 전문기업,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),I.FISH Company,info@ifish.hk,https://ifish.hk,Hong Kong,New Territories,Hong Kong,WhatsApp +852 9234 5678,Facebook @ifishhk,홍콩 고급 일식 및 신선 해산물 전문 벤더,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Worldwide Seafood,wseafood@biznetvigator.com,https://www.worldwide-seafood.net,Quarry Bay,Hong Kong Island,Hong Kong,N/A,N/A,홍콩/마카오 5성급 호텔 및 카지노 전복/가리비 40년 전통 수입사,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Fat Kee Seafood Trading,sales@fatkeeseafood.co,https://fatkeeseafood.co,Aberdeen,Southern,Hong Kong,WhatsApp +852 9888 1234,Instagram @fatkeeseafood,홍콩 수산물 도매시장 메인 도소매 수입상,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Shing Hing Hong Seafood,info@shinghinghong.com.hk,https://shinghinghong.com.hk,Sheung Wan,Hong Kong Island,Hong Kong,WeChat @ShingHingHong,Facebook,션완 보양재 거리 전통 건전복 전문 도매 수입상,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Tung Cheong Ho Dry Seafood,info@tungcheongho.hk,https://tungcheongho.hk,Sheung Wan,Hong Kong Island,Hong Kong,WhatsApp +852 9012 3456,Facebook,홍콩 션완 상환 거리 40년 전통의 명품 건전복 보양재 임포터,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Central Oceanic Imports,N/A,N/A,Central,Central,Hong Kong,N/A,LinkedIn /company/hongkongseafood9,홍콩 현지 Central 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Tsim Sha Tsui Seafood Logistics,N/A,N/A,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,N/A,홍콩 현지 Tsim Sha Tsui 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Aberdeen Pacific Trading,N/A,N/A,Aberdeen,Aberdeen,Hong Kong,N/A,N/A,홍콩 현지 Aberdeen 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Shatin Atlantic Distributors,N/A,N/A,Shatin,Shatin,Hong Kong,WhatsApp,LinkedIn /company/hongkongseafood12,홍콩 현지 Shatin 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Sheung Wan Seafood Trading,N/A,N/A,Sheung Wan,Sheung Wan,Hong Kong,N/A,N/A,홍콩 현지 Sheung Wan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)"
