Data Type,cmdCode (한글),Qty (t),Unit Price ($PV/kg),Korea_Share_vs_Reporter,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,"Unit Price ($/KG)
Primary Value/netWgt"
,"121221 (건조김, 마른김)",24419.5488,$10.39,,C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24419548.8,FALSE,8,kg,"24,419,549",FALSE,"24,419,549",FALSE,0,FALSE,,"$253,743,183.00","$253,743,183.00",0,FALSE,TRUE,$10.39
,"121221 (건조김, 마른김)",0.008,$20.38,,C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,16,ASM,American Samoa,0,W00,World,H5,HS,TRUE,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8,FALSE,8,kg,8,FALSE,8,FALSE,0,FALSE,,$163.00,$163.00,0,TRUE,FALSE,$20.38
,"121221 (건조김, 마른김)",0.17255,$25.44,,C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,32,ARG,Argentina,0,W00,World,H5,HS,TRUE,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,172.55,FALSE,8,kg,173,FALSE,173,FALSE,0,FALSE,,"$4,390.00","$4,390.00",0,TRUE,FALSE,$25.44
,"121221 (건조김, 마른김)",156.57246,$6.74,,C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,36,AUS,Australia,0,W00,World,H5,HS,TRUE,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,156572.46,FALSE,8,kg,"156,572",FALSE,"156,572",FALSE,0,FALSE,,"$1,055,889.00","$1,055,889.00",0,TRUE,FALSE,$6.74
,"121221 (건조김, 마른김)",5.9812,$6.50,,C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,40,AUT,Austria,0,W00,World,H5,HS,TRUE,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5981.2,FALSE,8,kg,"5,981",FALSE,"5,981",FALSE,0,FALSE,,"$38,901.00","$38,901.00",0,TRUE,FALSE,$6.50
,"121221 (건조김, 마른김)",0.53554,$38.34,,C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,48,BHR,Bahrain,0,W00,World,H5,HS,TRUE,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,535.54,FALSE,8,kg,536,FALSE,536,FALSE,0,FALSE,,"$20,532.00","$20,532.00",0,TRUE,FALSE,$38.34
,"121221 (건조김, 마른김)",0.1076,$15.89,,C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,50,BGD,Bangladesh,0,W00,World,H5,HS,TRUE,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,107.6,FALSE,8,kg,108,FALSE,108,FALSE,0,FALSE,,"$1,710.00","$1,710.00",0,TRUE,FALSE,$15.89
,"121221 (건조김, 마른김)",0.12092,$53.25,,C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,56,BEL,Belgium,0,W00,World,H5,HS,TRUE,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,120.92,FALSE,8,kg,121,FALSE,121,FALSE,0,FALSE,,"$6,439.00","$6,439.00",0,TRUE,FALSE,$53.25
,"121221 (건조김, 마른김)",2.06668,$20.44,,C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,68,BOL,Bolivia (Plurinational State of),0,W00,World,H5,HS,TRUE,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2066.68,FALSE,8,kg,"2,067",FALSE,"2,067",FALSE,0,FALSE,,"$42,253.00","$42,253.00",0,TRUE,FALSE,$20.44
,"121221 (건조김, 마른김)",53.5769,$19.09,,C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,76,BRA,Brazil,0,W00,World,H5,HS,TRUE,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,53576.9,FALSE,8,kg,"53,577",FALSE,"53,577",FALSE,0,FALSE,,"$1,022,860.00","$1,022,860.00",0,TRUE,FALSE,$19.09
,"121221 (건조김, 마른김)",0.33,$19.74,,C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,96,BRN,Brunei Darussalam,0,W00,World,H5,HS,TRUE,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,330,FALSE,8,kg,330,FALSE,330,FALSE,0,FALSE,,"$6,514.00","$6,514.00",0,TRUE,FALSE,$19.74
