Data Type,cmdCode (한글),Qty (t),Unit Price ($PV/kg),Korea_Share_vs_Reporter,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,"Unit Price ($/KG)
Primary Value/netWgt"
,"121221 (건조김, 마른김)",0.05867,$26.48,,C,A,20210101,2021,52,2021,20,AND,Andorra,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,58.67,FALSE,8,kg,59,FALSE,59,FALSE,0,FALSE,1553.597,,1553.597,0,FALSE,TRUE,$26.48
,"121221 (건조김, 마른김)",0.05867,$26.48,,C,A,20210101,2021,52,2021,20,AND,Andorra,M,Import,724,ESP,Spain,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,58.67,FALSE,8,kg,59,FALSE,59,FALSE,0,FALSE,1553.597,,1553.597,0,TRUE,FALSE,$26.48
,"121221 (건조김, 마른김)",2.956123,$2.17,,C,A,20210101,2021,52,2021,24,AGO,Angola,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2956.123,FALSE,8,kg,"2,956",FALSE,"2,956",FALSE,0,FALSE,6404.418,,6404.418,0,FALSE,TRUE,$2.17
,"121221 (건조김, 마른김)",0.313123,$0.49,,C,A,20210101,2021,52,2021,24,AGO,Angola,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,313.123,FALSE,8,kg,313,FALSE,313,FALSE,0,FALSE,153.735,,153.735,0,FALSE,TRUE,$0.49
,"121221 (건조김, 마른김)",2.096,$0.17,,C,A,20210101,2021,52,2021,24,AGO,Angola,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2096,FALSE,8,kg,"2,096",FALSE,"2,096",FALSE,0,FALSE,357.672,,357.672,0,FALSE,TRUE,$0.17
,"121221 (건조김, 마른김)",0.547,$10.77,,C,A,20210101,2021,52,2021,24,AGO,Angola,M,Import,620,PRT,Portugal,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,547,FALSE,8,kg,547,FALSE,547,FALSE,0,FALSE,5893.012,,5893.012,0,FALSE,TRUE,$10.77
,"121221 (건조김, 마른김)",8.79554,$25.27,,C,A,20210101,2021,52,2021,31,AZE,Azerbaijan,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8795.54,FALSE,8,kg,"8,796",FALSE,"8,796",FALSE,0,FALSE,222221.15,,222221.15,0,FALSE,TRUE,$25.27
,"121221 (건조김, 마른김)",1.22566,$18.61,,C,A,20210101,2021,52,2021,31,AZE,Azerbaijan,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1225.66,FALSE,8,kg,"1,226",FALSE,"1,226",FALSE,0,FALSE,22806.97,,22806.97,0,FALSE,TRUE,$18.61
,"121221 (건조김, 마른김)",5.69423,$25.36,,C,A,20210101,2021,52,2021,31,AZE,Azerbaijan,M,Import,410,KOR,Rep. of Korea,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5694.23,FALSE,8,kg,"5,694",FALSE,"5,694",FALSE,0,FALSE,144423.52,,144423.52,0,FALSE,TRUE,$25.36
,"121221 (건조김, 마른김)",1.87565,$29.32,,C,A,20210101,2021,52,2021,31,AZE,Azerbaijan,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1875.65,FALSE,8,kg,"1,876",FALSE,"1,876",FALSE,0,FALSE,54990.66,,54990.66,0,FALSE,TRUE,$29.32
,"121221 (건조김, 마른김)",52.87778,$11.33,,C,A,20210101,2021,52,2021,32,ARG,Argentina,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,52877.78,FALSE,8,kg,"52,878",FALSE,"52,878",FALSE,0,FALSE,599090.37,551957.67,599090.37,0,FALSE,TRUE,$11.33
,"121221 (건조김, 마른김)",30,$11.55,,C,A,20210101,2021,52,2021,32,ARG,Argentina,M,Import,152,CHL,Chile,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30000,FALSE,8,kg,"30,000",FALSE,"30,000",FALSE,0,FALSE,346379.5,336750,346379.5,0,FALSE,TRUE,$11.55
,"121221 (건조김, 마른김)",22.05778,$10.87,,C,A,20210101,2021,52,2021,32,ARG,Argentina,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22057.78,FALSE,8,kg,"22,058",FALSE,"22,058",FALSE,0,FALSE,239793.86,203308.64,239793.86,0,FALSE,TRUE,$10.87
,"121221 (건조김, 마른김)",0.3,$5.60,,C,A,20210101,2021,52,2021,32,ARG,Argentina,M,Import,251,FRA,France,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,300,FALSE,8,kg,300,FALSE,300,FALSE,0,FALSE,1679.99,1641.2,1679.99,0,FALSE,TRUE,$5.60
,"121221 (건조김, 마른김)",0.46,$10.10,,C,A,20210101,2021,52,2021,32,ARG,Argentina,M,Import,276,DEU,Germany,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,460,FALSE,8,kg,460,FALSE,460,FALSE,0,FALSE,4646.01,4543.03,4646.01,0,FALSE,TRUE,$10.10
,"121221 (건조김, 마른김)",0.06,$109.85,,C,A,20210101,2021,52,2021,32,ARG,Argentina,M,Import,490,S19,"Other Asia, nes",0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,60,FALSE,8,kg,60,FALSE,60,FALSE,0,FALSE,6591.01,5714.8,6591.01,0,FALSE,TRUE,$109.85
,"121221 (건조김, 마른김)",1543.752802,$15.57,,C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1543752.802,TRUE,8,kg,"1,543,684",FALSE,"1,543,753",TRUE,0,FALSE,24041125.94,22607043.23,24041125.94,6,FALSE,TRUE,$15.57
,"121221 (건조김, 마른김)",30,$7.05,,C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,32,ARG,Argentina,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30000,FALSE,8,kg,"30,000",FALSE,"30,000",FALSE,37520,FALSE,211495.243,199197.315,211495.243,0,FALSE,TRUE,$7.05
,"121221 (건조김, 마른김)",0.0018,$577.57,,C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,36,AUS,Australia,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.8,FALSE,8,kg,2,FALSE,2,FALSE,2,FALSE,1039.629,903.965,1039.629,0,FALSE,TRUE,$577.57
,"121221 (건조김, 마른김)",65.4,$4.80,,C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,124,CAN,Canada,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,65400,FALSE,8,kg,"65,400",FALSE,"65,400",FALSE,66999,FALSE,313628.974,301975.407,313628.974,0,FALSE,TRUE,$4.80
,"121221 (건조김, 마른김)",5.02052,$1.15,,C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,152,CHL,Chile,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5020.52,FALSE,8,kg,"5,021",FALSE,"5,021",FALSE,0,FALSE,5782.624,5683.415,5782.624,0,FALSE,TRUE,$1.15
,"121221 (건조김, 마른김)",824.38315,$17.00,,C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,824383.15,FALSE,8,kg,"824,383",FALSE,"824,383",FALSE,0,FALSE,14015938.3,13482495.26,14015938.3,0,FALSE,TRUE,$17.00
,"121221 (건조김, 마른김)",0.63009,$159.59,,C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,208,DNK,Denmark,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,630.09,FALSE,8,kg,630,FALSE,630,FALSE,0,FALSE,100553.636,98101.878,100553.636,0,FALSE,TRUE,$159.59
,"121221 (건조김, 마른김)",16.89492,$6.51,,C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,251,FRA,France,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16894.92,FALSE,8,kg,"16,895",FALSE,"16,895",FALSE,0,FALSE,109922.482,105313.367,109922.482,0,FALSE,TRUE,$6.51
,"121221 (건조김, 마른김)",1.11,$23.33,,C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1110,FALSE,8,kg,"1,110",FALSE,"1,110",FALSE,0,FALSE,25892.963,25525.233,25892.963,0,FALSE,TRUE,$23.33
,"121221 (건조김, 마른김)",1.5,$7.50,,C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,360,IDN,Indonesia,0,W00,World,H5,HS,TRUE,"121221 (건조김, 마른김)","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1500,FALSE,8,kg,"1,500",FALSE,"1,500",FALSE,1534,FALSE,11256.09,11044.796,11256.09,0,FALSE,TRUE,$7.50
