refYear,item_label,total_val,total_qty,avg_unit_price
2021,마른김 (HS 121221),253743183.0,24419.548798,17.88142857142857
2021,조미김 (HS 200899),553986432.0,25297.544384,25.445689655172412
2022,마른김 (HS 121221),273171257.0,25300.842994,20.18887640449438
2022,조미김 (HS 200899),476947064.0,24365.830286,21.642660550458718
2023,마른김 (HS 121221),354879252.0,28158.359877,18.418712871287127
2023,조미김 (HS 200899),547146589.0,26734.179792,22.34664
2024,마른김 (HS 121221),476561517.0,29680.840401,20.340777777777777
2024,조미김 (HS 200899),636476615.0,26955.25897,27.11209677419355
2025,마른김 (HS 121221),563576043.0,31147.033677,21.55659090909091
2025,조미김 (HS 200899),687399086.0,27501.957951,30.410714285714285
