price_bracket,item_label,record_count,total_val,val_share
초저가 (<$10),마른김 (HS 121221),115,345292128.0,17.965893818557877
초저가 (<$10),조미김 (HS 200899),89,21546202.0,0.7424717531516519
저가 ($10-$20),마른김 (HS 121221),195,1002155465.0,52.14314840643426
저가 ($10-$20),조미김 (HS 200899),108,597778022.0,20.59914299466174
중가 ($20-$30),마른김 (HS 121221),91,418804887.0,21.790835991879693
중가 ($20-$30),조미김 (HS 200899),195,2011397342.0,69.31178454556924
고가 ($30-$50),마른김 (HS 121221),37,154703978.0,8.049402279036357
고가 ($30-$50),조미김 (HS 200899),191,270306873.0,9.314644775225393
초고가 프리미엄 (>$50),마른김 (HS 121221),21,974794.0,0.05071950409181441
초고가 프리미엄 (>$50),조미김 (HS 200899),17,927347.0,0.031955931391988476
