partnerDesc,total_val,avg_unit_price,growth_rate,quadrant
Australia,113552964.0,14.887,60.32611440998501,Rising Volume (고성장/볼륨)
Belgium,6280472.0,31.026999999999997,-46.29691685461745,Cash Cow (안정적 고마진)
Brazil,18200077.0,18.934,-16.10234989143706,Watch List (저성장/저마진)
Cambodia,5206177.0,14.578999999999999,272.4227041598008,Rising Volume (고성장/볼륨)
Canada,149368831.0,17.894,57.28533971362977,Rising Volume (고성장/볼륨)
Chile,6756360.0,18.16,-5.2075912565590965,Watch List (저성장/저마진)
China,576435425.0,14.393,-23.065693213086814,Watch List (저성장/저마진)
"China, Hong Kong SAR",46901788.0,16.884,1.4489586721560865,Watch List (저성장/저마진)
Colombia,2268638.0,27.47,156.71698264226177,Star Market (고성장/고마진)
Czechia,2700573.0,10.386,146.66433503024652,Rising Volume (고성장/볼륨)
France,35513052.0,21.381999999999998,3.383839243124953,Watch List (저성장/저마진)
Germany,66323710.0,19.238,17.153189548691007,Watch List (저성장/저마진)
India,2358773.0,22.319,65.97907409247719,Rising Volume (고성장/볼륨)
Indonesia,119173984.0,23.837,190.29447036842782,Star Market (고성장/고마진)
Israel,11318483.0,38.382,211.41229122867173,Star Market (고성장/고마진)
Italy,6630273.0,25.244444444444444,-34.47618281531447,Cash Cow (안정적 고마진)
Japan,1004048561.0,16.057,77.6114951138322,Rising Volume (고성장/볼륨)
Kazakhstan,12643737.0,22.854,295.98493228220616,Rising Volume (고성장/볼륨)
Lithuania,16684193.0,25.845,169.4428684556089,Star Market (고성장/고마진)
Malaysia,29088944.0,15.24,38.58671568737388,Watch List (저성장/저마진)
Mexico,29256014.0,25.552,44.15620303273637,Cash Cow (안정적 고마진)
Mongolia,23115034.0,12.095,49.010539215453086,Watch List (저성장/저마진)
Myanmar,2096669.0,28.845,-78.29495666991116,Cash Cow (안정적 고마진)
Netherlands,46259991.0,17.747,102.5911260926088,Rising Volume (고성장/볼륨)
New Zealand,24104962.0,18.656,27.58056260705284,Watch List (저성장/저마진)
Norway,4333952.0,83.037,31.95509791071651,Cash Cow (안정적 고마진)
"Other Asia, nes",198981269.0,22.367,73.81612579909778,Rising Volume (고성장/볼륨)
Philippines,89792064.0,15.122,162.17966073176703,Rising Volume (고성장/볼륨)
Poland,37551926.0,24.012,121.20425473883074,Star Market (고성장/고마진)
Russian Federation,335353220.0,23.518,98.51307895236397,Star Market (고성장/고마진)
Saudi Arabia,2458551.0,18.802,456.62399877094117,Rising Volume (고성장/볼륨)
Singapore,34668277.0,19.764000000000003,56.308721344849744,Rising Volume (고성장/볼륨)
Spain,10438197.0,24.741,83.93859754630743,Star Market (고성장/고마진)
Sweden,7118671.0,14.472999999999999,39.3353951613983,Watch List (저성장/저마진)
Switzerland,4871969.0,31.761000000000003,-51.574205025975985,Cash Cow (안정적 고마진)
Thailand,347140580.0,20.625999999999998,113.77765650038026,Rising Volume (고성장/볼륨)
Türkiye,6005845.0,28.008,254.54109072716273,Star Market (고성장/고마진)
USA,1063230506.0,17.641,51.67232474374048,Rising Volume (고성장/볼륨)
Ukraine,19081770.0,25.604000000000003,77.92272306523884,Star Market (고성장/고마진)
United Arab Emirates,9383543.0,25.063,187.46279420733742,Star Market (고성장/고마진)
United Kingdom,68892539.0,17.695,71.94799623588825,Rising Volume (고성장/볼륨)
Viet Nam,194484023.0,17.344,127.51584117781417,Rising Volume (고성장/볼륨)
