partnerDesc,partnerISO,total_val_usd,total_qty_tons,mean_unit_price,val_share_pct
USA,USA,1063230506.0,49054.286391,17.641,22.040949500360167
Japan,JPN,1004048561.0,71334.651075,16.057,20.814097699441195
China,CHN,576435425.0,43951.353766,14.393,11.949604550420652
Thailand,THA,347140580.0,18852.329439999998,20.625999999999998,7.196283355422968
Russian Federation,RUS,335353220.0,13376.198245,23.518,6.951929374760786
"Other Asia, nes",S19,198981269.0,8765.778968,22.367,4.124915600894716
Viet Nam,VNM,194484023.0,10679.544601,17.344,4.031686925252581
Canada,CAN,149368831.0,5771.82974,17.894,3.0964413101582253
Indonesia,IDN,119173984.0,6002.17837,23.837,2.4704969884495873
Australia,AUS,113552964.0,5701.353102,14.887,2.3539722863634767
Philippines,PHL,89792064.0,4701.922225,15.122,1.861404781925161
United Kingdom,GBR,68892539.0,3043.077933,17.695,1.4281540686442584
Germany,DEU,66323710.0,2541.755069,19.238,1.3749018058992117
"China, Hong Kong SAR",HKG,46901788.0,2513.932847,16.884,0.9722820545036155
Netherlands,NLD,46259991.0,2116.783015,17.747,0.9589774933697359
Poland,POL,37551926.0,1237.812639,24.012,0.7784578225855213
France,FRA,35513052.0,1456.474211,21.381999999999998,0.736191617263157
Singapore,SGP,34668277.0,1773.226979,19.764000000000003,0.7186792876139485
Mexico,MEX,29256014.0,1236.052514,25.552,0.6064821536975634
Malaysia,MYS,29088944.0,2110.2435370000003,15.24,0.6030187641388132
