partnerDesc,마른김 (HS 121221),조미김 (HS 200899)
USA,109.32384,953.906666
Japan,576.564108,427.484453
China,308.490921,267.944504
Thailand,317.291889,29.848691
Russian Federation,249.382413,85.970807
"Other Asia, nes",116.777892,82.203377
Viet Nam,62.731038,131.752985
Canada,4.939006,144.429825
Indonesia,78.338128,40.835856
Australia,6.26473,107.288234
Philippines,7.172547,82.619517
United Kingdom,2.287412,66.605127
Germany,0.945401,65.378309
"China, Hong Kong SAR",2.558842,44.342946
Netherlands,3.398184,42.861807
