title,summary,publisher,link,date
난치성 뇌종양 면역치료 '숨은 열쇠' 찾았다,한국과학기술원(KAIST) 연구진이 ‘면역관문억제제’가 효과를 내도록 하기 위한 새로운 원리를 규명했다. 암세포는 면역세포의 공격을 피하기 위해 작동시키는 ‘면역 브레이크’를 통해 일부 뇌종양에서 효과를 내지 못하게,이데일리,https://n.news.naver.com/mnews/article/018/0006332546,2026-07-19
‘갤럭시 Z 폴드·플립 8’ 출격…AI 글래스로 AI생태계 확장도 시도,삼성전자의 스마트폰 신제품 공개 행사인 ‘갤럭시 언팩 2026’을 앞두고 제품 스펙이 공개됐다. 삼성전자가 신형 폴더블 스마트폰과 인공지능(AI) 글래스를 앞세워 AI 생태계를 확장할 수 있을지 세계가 주목하고 있다,디지털타임스,https://n.news.naver.com/mnews/article/029/0003037605,2026-07-19
"LG유플러스, 교보문고 전자책·디지털 잡지 구독 상품 출시… 월 9900원",LG유플러스가 교보문고 전자책 구독 서비스 샘(sam)과 디지털 매거진 서비스 모아진을 결합한 구독 상품을 출시했다고 19일 밝혔다. 신규 상품은 LG유플러스의 구독 플랫폼 ‘유독’을 통해 제공된다. 전자책과 디지털,조선비즈,https://n.news.naver.com/mnews/article/366/0001180116,2026-07-19
"개인정보위, KT 개인정보 유출 제재 이르면 29일 결론",KT의 개인정보 유출 관련 정부 제재안이 이르면 이번 달 확정된다. KT는 지난해 2만명이 넘는 개인정보 유출과 2억원대 소액결제 피해 사고를 냈다. 19일 업계에 따르면 개인정보보호위원회는 오는 29일 전체회의를,아시아경제,https://n.news.naver.com/mnews/article/277/0005791496,2026-07-19
"우주경영 시대, 일본에서 배워라","일본, 지구 넘어 미국과 ‘우주 동맹’ 구축 미사일 방어·달 탐사까지 협력 크게 확대 소행성 탐사·달 경제권에 민관 함께 투자 한국도 우주강국 위한 청사진 구체화해야 최근 정부가 우주를 미래 성장 동력으로 육성하겠다",조선일보,https://n.news.naver.com/mnews/article/023/0003988323,2026-07-19
‘셋방 연구소’에서 한·EU 과학기술 허브로… KIST 유럽연구소 30년,“입사 당시 단 3명”… 빌린 사무실서 시작한 30년 환경공학서 바이오·에너지·AI 융합으로 연구 확대 호라이즌 유럽 과제 수주·참여… 협력 성과 가시화 독일 남서부 자르브뤼켄에 자리한 한국과학기술연구원(KIST),조선비즈,https://n.news.naver.com/mnews/article/366/0001180132,2026-07-19
"수술 중 형광 4배 오래 유지…화학硏, 차세대 근적외선 형광염료 개발[과학을읽다]",수술 중 암이나 림프절의 위치를 확인하는 데 쓰이는 근적외선 형광염료가 빛을 받으면 빠르게 흐려지는 문제를 국내 연구진이 해결했다. 기존 형광염료보다 형광 유지 성능을 4배 이상 높여 장시간 수술에서도 목표 부위를,아시아경제,https://n.news.naver.com/mnews/article/277/0005791482,2026-07-19
"크래프톤, ‘게임스컴 2026’ 부스 프로그램 공개",크래프톤이 독일 쾰른에서 열리는 세계 최대 게임쇼 ‘게임스컴 2026’에서 다양한 부스 프로그램과 이벤트를 진행한다. 크래프톤의 전시 부스는 쾰른메세 제9전시장에서 다음 달 26일부터 30일까지 5일간 운영한다. 관,국민일보,https://n.news.naver.com/mnews/article/005/0001861765,2026-07-19
모기가 싫어하는 냄새는 레몬향...한 번 뿌리면 2시간 효과,"레몬향, 2시간 동안 모기 막아 모기 후각 유전자 아예 바꾸기도 합성 향보다 천연 향이 효과적 남은 여름 동안에는 레몬향 계열의 모기 퇴치제를 사용하는 것이 좋겠다. 시중에 판매 중인 여러 모기 퇴치제 중에서 레몬향",매일경제,https://n.news.naver.com/mnews/article/009/0005709204,2026-07-19
"해성디에스, 中 CXMT 뚫었다…DDR5 기판 공급 확대",해성디에스가 중국 최대 D램 기업 창신메모리테크놀로지(CXMT)를 신규 고객사로 확보하며 DDR5 패키지기판 사업 확장에 나선다. 기존 릴투릴(Reel-to-Reel) 생산 방식을 넘어 패널 방식 도입도 검토하며 D,전자신문,https://n.news.naver.com/mnews/article/030/0003448838,2026-07-19
